Tahun,Kuadrimester,CurahHujan ,Temperatur ,Kelembapan ,KecepatanAngin ,PenyinaranMatahari ,BanyakWisatawan 
2016,1,6.95,28.55,79.82,2.56,7.82,2222243
,2,5.05,27.52,80.79,3.11,8.53,3472965
,3,10.19,28.06,80.77,3.12,7.22,2948472
2017,1,8.69,27.41,80.81,3.21,6.73,2503314
,2,2.07,19.66,60.09,2.92,5.87,2986876
,3,9.46,27.01,80.48,2.94,6.74,3245443
2018,1,9.35,27.76,80.99,3.39,7.57,2939084
,2,1.08,26.55,78.94,3.91,8.31,3515383
,3,3.46,27.57,79.62,2.81,8.58,3303524
2019,1,7.25,27.95,83.68,3.18,7.33,3069253
,2,0.53,26.14,78.18,3.75,9.23,3805249
,3,0.96,27.73,76.38,2.78,10.18,3670537
2020,1,6.56,28.29,80.01,2.95,7.94,2343379
,2,1.78,27.14,80.77,3.76,8.65,824187
,3,4.79,27.82,79.78,3.15,7.76,1428591
